time,neuron_id,capa
3036.2,41,oculta
3036.2,42,oculta
3036.2,43,oculta
3036.2,44,oculta
3036.2,77,pfc
3036.2,78,pfc
3036.2,79,pfc
3073.4,41,oculta
3073.4,42,oculta
3073.4,43,oculta
3073.4,44,oculta
3073.4,77,pfc
3073.4,78,pfc
3073.4,79,pfc
3110.6000000000004,41,oculta
3110.6000000000004,42,oculta
3110.6000000000004,43,oculta
3110.6000000000004,44,oculta
3110.6000000000004,77,pfc
3110.6000000000004,78,pfc
3110.6000000000004,79,pfc
3147.8,41,oculta
3147.8,42,oculta
3147.8,43,oculta
3147.8,44,oculta
3147.8,77,pfc
3147.8,78,pfc
3147.8,79,pfc
3185.0,41,oculta
3185.0,42,oculta
3185.0,43,oculta
3185.0,44,oculta
3185.0,77,pfc
3185.0,78,pfc
3185.0,79,pfc
3222.2,41,oculta
3222.2,42,oculta
3222.2,43,oculta
3222.2,44,oculta
3222.2,77,pfc
3222.2,78,pfc
3222.2,79,pfc
3259.4,41,oculta
3259.4,42,oculta
3259.4,43,oculta
3259.4,44,oculta
3259.4,77,pfc
3259.4,78,pfc
3259.4,79,pfc
3296.6,41,oculta
3296.6,42,oculta
3296.6,43,oculta
3296.6,44,oculta
3296.6,77,pfc
3296.6,78,pfc
3296.6,79,pfc
3333.8,41,oculta
3333.8,42,oculta
3333.8,43,oculta
3333.8,44,oculta
3333.8,77,pfc
3333.8,78,pfc
3333.8,79,pfc
3371.0,41,oculta
3371.0,42,oculta
3371.0,43,oculta
3371.0,44,oculta
3371.0,77,pfc
3371.0,78,pfc
3371.0,79,pfc
3408.2000000000003,41,oculta
3408.2000000000003,42,oculta
3408.2000000000003,43,oculta
3408.2000000000003,44,oculta
3408.2000000000003,77,pfc
3408.2000000000003,78,pfc
3408.2000000000003,79,pfc
3445.4,41,oculta
3445.4,42,oculta
3445.4,43,oculta
3445.4,44,oculta
3445.4,77,pfc
3445.4,78,pfc
3445.4,79,pfc
3482.6,41,oculta
3482.6,42,oculta
3482.6,43,oculta
3482.6,44,oculta
3482.6,77,pfc
3482.6,78,pfc
3482.6,79,pfc
3502.0,41,oculta
3502.0,42,oculta
3502.0,43,oculta
3502.0,44,oculta
3502.0,77,pfc
3502.0,78,pfc
3502.0,79,pfc
3506.2999999999997,0,sensorial
3506.2999999999997,1,sensorial
3506.2999999999997,2,sensorial
3506.2999999999997,3,sensorial
3506.2999999999997,4,sensorial
3506.2999999999997,5,sensorial
3506.2999999999997,6,sensorial
3506.2999999999997,7,sensorial
3506.2999999999997,8,sensorial
3506.2999999999997,9,sensorial
3506.2999999999997,10,sensorial
3506.2999999999997,11,sensorial
3506.2999999999997,12,sensorial
3506.2999999999997,13,sensorial
3506.2999999999997,14,sensorial
3506.2999999999997,15,sensorial
3506.2999999999997,16,sensorial
3506.2999999999997,17,sensorial
3506.2999999999997,18,sensorial
3506.2999999999997,19,sensorial
3506.2999999999997,20,sensorial
3506.2999999999997,21,sensorial
