time,neuron_id,capa
3506.2999999999997,0,sensorial
3506.2999999999997,1,sensorial
3506.2999999999997,2,sensorial
3506.2999999999997,3,sensorial
3506.2999999999997,4,sensorial
3506.2999999999997,5,oculta
3506.2999999999997,6,oculta
3506.2999999999997,7,oculta
3506.2999999999997,12,pfc
3506.2999999999997,13,pfc
3506.2999999999997,14,pfc
3525.8,3,sensorial
3525.8,14,pfc
3525.9,5,oculta
3525.9,13,pfc
3526.0,0,sensorial
3526.0,1,sensorial
3526.0,2,sensorial
3526.0,4,sensorial
3526.1,6,oculta
3526.1,7,oculta
3526.1,12,pfc
3545.5,3,sensorial
3545.5,14,pfc
3545.8,0,sensorial
3545.8,5,oculta
3545.8,13,pfc
3545.9,1,sensorial
3545.9,2,sensorial
3545.9,4,sensorial
3546.0,6,oculta
3546.0,12,pfc
3546.1,7,oculta
3565.4,3,sensorial
3565.4,14,pfc
3565.8,0,sensorial
3565.8,5,oculta
3565.8,13,pfc
3565.9,1,sensorial
3565.9,2,sensorial
3565.9,4,sensorial
3566.0,6,oculta
3566.0,12,pfc
3566.1,7,oculta
3585.3,3,sensorial
3585.3,14,pfc
3585.8,0,sensorial
3585.8,5,oculta
3585.8,13,pfc
3585.9,1,sensorial
3585.9,2,sensorial
3585.9,4,sensorial
3586.0,6,oculta
3586.0,12,pfc
3586.1,7,oculta
3605.2,3,sensorial
3605.2,14,pfc
3605.8,0,sensorial
3605.8,5,oculta
3605.8,13,pfc
3605.9,1,sensorial
3605.9,2,sensorial
3605.9,4,sensorial
3606.0000000000005,6,oculta
3606.0000000000005,12,pfc
3606.1,7,oculta
3625.1,3,sensorial
3625.1,14,pfc
3625.8,0,sensorial
3625.8,5,oculta
3625.8,13,pfc
3625.9,1,sensorial
3625.9,2,sensorial
3625.9,4,sensorial
3626.0000000000005,6,oculta
3626.0000000000005,12,pfc
3626.1,7,oculta
3645.0,3,sensorial
3645.0,14,pfc
3645.8,0,sensorial
3645.8,5,oculta
3645.8,13,pfc
3645.9,1,sensorial
3645.9,2,sensorial
3645.9,4,sensorial
3646.0000000000005,6,oculta
3646.0000000000005,12,pfc
3646.1,7,oculta
3664.9,3,sensorial
3664.9,14,pfc
3665.8,0,sensorial
3665.8,5,oculta
3665.8,13,pfc
3665.9,1,sensorial
3665.9,2,sensorial
3665.9,4,sensorial
3666.0000000000005,6,oculta
3666.0000000000005,12,pfc
3666.1,7,oculta
3684.8,3,sensorial
3684.8,14,pfc
3685.7999999999997,0,sensorial
3685.7999999999997,5,oculta
3685.7999999999997,13,pfc
3685.9,1,sensorial
3685.9,2,sensorial
3685.9,4,sensorial
3686.0000000000005,6,oculta
3686.0000000000005,12,pfc
3686.1,7,oculta
3704.7000000000003,3,sensorial
3704.7000000000003,14,pfc
3705.7999999999997,0,sensorial
3705.7999999999997,5,oculta
3705.7999999999997,13,pfc
3705.9,1,sensorial
3705.9,2,sensorial
3705.9,4,sensorial
3706.0,6,oculta
3706.0,12,pfc
3706.1,7,oculta
3724.6,3,sensorial
3724.6,14,pfc
3725.7999999999997,0,sensorial
3725.7999999999997,5,oculta
3725.7999999999997,13,pfc
3725.9,1,sensorial
3725.9,2,sensorial
3725.9,4,sensorial
3726.0,6,oculta
3726.0,12,pfc
3726.1,7,oculta
3744.5000000000005,3,sensorial
3744.5000000000005,14,pfc
3745.7999999999997,0,sensorial
3745.7999999999997,5,oculta
3745.7999999999997,13,pfc
3745.9,1,sensorial
3745.9,2,sensorial
3745.9,4,sensorial
3746.0,6,oculta
3746.0,12,pfc
3746.1,7,oculta
3764.2999999999997,3,sensorial
3764.4,14,pfc
3765.8,0,sensorial
3765.8,5,oculta
3765.8,13,pfc
3765.9,1,sensorial
3765.9,2,sensorial
3765.9,4,sensorial
3766.0,6,oculta
3766.0,12,pfc
3766.1000000000004,7,oculta
3784.1,3,sensorial
3784.2999999999997,14,pfc
3785.8,0,sensorial
3785.8,5,oculta
3785.8,13,pfc
3785.9,1,sensorial
3785.9,2,sensorial
3785.9,4,sensorial
3786.0,6,oculta
3786.0,12,pfc
3786.1000000000004,7,oculta
3803.9,3,sensorial
3804.1,14,pfc
3805.8,0,sensorial
3805.8,5,oculta
3805.8,13,pfc
3805.9,1,sensorial
3805.9,2,sensorial
3805.9,4,sensorial
3806.0,6,oculta
3806.0,12,pfc
3806.1000000000004,7,oculta
3823.7,3,sensorial
3823.9,14,pfc
3825.8,0,sensorial
3825.8,5,oculta
3825.8,13,pfc
3825.9,1,sensorial
3825.9,2,sensorial
3825.9,4,sensorial
3826.0,6,oculta
3826.0,12,pfc
3826.1000000000004,7,oculta
3843.5,3,sensorial
3843.7,14,pfc
3845.8,0,sensorial
3845.8,5,oculta
3845.8,13,pfc
3845.9,1,sensorial
3845.9,2,sensorial
3845.9,4,sensorial
3845.9,6,oculta
3846.0,12,pfc
3846.1000000000004,7,oculta
3863.3,3,sensorial
3863.5,14,pfc
3865.7000000000003,6,oculta
3865.8,0,sensorial
3865.8,5,oculta
3865.8,13,pfc
3865.9,1,sensorial
3865.9,2,sensorial
3865.9,4,sensorial
3866.0,12,pfc
3866.1000000000004,7,oculta
3883.1000000000004,3,sensorial
3883.3,14,pfc
3885.5000000000005,6,oculta
3885.6,5,oculta
3885.6,13,pfc
3885.8,0,sensorial
3885.9,1,sensorial
3885.9,2,sensorial
3885.9,4,sensorial
3885.9,7,oculta
3886.0,12,pfc
3902.8,3,sensorial
3903.1000000000004,14,pfc
3905.2999999999997,5,oculta
3905.2999999999997,6,oculta
3905.2999999999997,13,pfc
3905.7000000000003,7,oculta
3905.8,0,sensorial
3905.9,1,sensorial
3905.9,2,sensorial
3905.9,4,sensorial
3905.9,12,pfc
3922.5000000000005,3,sensorial
3922.9,14,pfc
3925.0,5,oculta
3925.0,13,pfc
3925.1,6,oculta
3925.5,7,oculta
3925.6,0,sensorial
3925.7,12,pfc
3925.9,1,sensorial
3925.9,2,sensorial
3925.9,4,sensorial
3942.2000000000003,3,sensorial
3942.7000000000003,14,pfc
3944.7,5,oculta
3944.7,13,pfc
3944.9,6,oculta
3945.2999999999997,0,sensorial
3945.2999999999997,7,oculta
3945.5,12,pfc
3945.9000000000005,1,sensorial
3945.9000000000005,2,sensorial
3945.9000000000005,4,sensorial
3961.9,3,sensorial
3962.5000000000005,14,pfc
3964.4,5,oculta
3964.4,13,pfc
3964.7,6,oculta
