time,neuron_id,capa
3506.2999999999997,0,sensorial
3506.2999999999997,1,sensorial
3506.2999999999997,2,sensorial
3506.2999999999997,3,sensorial
3506.2999999999997,4,sensorial
3506.2999999999997,5,oculta
3506.2999999999997,6,oculta
3506.2999999999997,7,oculta
3506.2999999999997,12,pfc
3506.2999999999997,13,pfc
3506.2999999999997,14,pfc
3525.8,5,oculta
3525.9,0,sensorial
3525.9,6,oculta
3525.9,13,pfc
3526.0,4,sensorial
3526.0,7,oculta
3526.1,1,sensorial
3526.1,2,sensorial
3526.1,12,pfc
3526.1,14,pfc
3526.2000000000003,3,sensorial
3545.5,5,oculta
3545.7,0,sensorial
3545.7,6,oculta
3545.7,13,pfc
3545.9,4,sensorial
3545.9,7,oculta
3546.0,2,sensorial
3546.0,12,pfc
3546.0,14,pfc
3546.1,1,sensorial
3546.2000000000003,3,sensorial
3565.4,5,oculta
3565.6000000000004,6,oculta
3565.7,0,sensorial
3565.7,13,pfc
3565.9,4,sensorial
3565.9,7,oculta
3566.0,2,sensorial
3566.0,12,pfc
3566.0,14,pfc
3566.1,1,sensorial
3566.2000000000003,3,sensorial
3585.3,5,oculta
3585.5,6,oculta
3585.7,0,sensorial
3585.7,13,pfc
3585.9,4,sensorial
3585.9,7,oculta
3586.0,2,sensorial
3586.0,12,pfc
3586.0,14,pfc
3586.1,1,sensorial
3586.2000000000003,3,sensorial
3605.2,5,oculta
3605.4,6,oculta
3605.6000000000004,0,sensorial
3605.7000000000003,13,pfc
3605.9,4,sensorial
3605.9,7,oculta
3606.0000000000005,2,sensorial
3606.0000000000005,12,pfc
3606.0000000000005,14,pfc
3606.1,1,sensorial
3606.2000000000003,3,sensorial
3625.1,5,oculta
3625.3,6,oculta
3625.5,0,sensorial
3625.7000000000003,13,pfc
3625.9,4,sensorial
3625.9,7,oculta
3626.0000000000005,2,sensorial
3626.0000000000005,12,pfc
3626.0000000000005,14,pfc
3626.1,1,sensorial
3626.2000000000003,3,sensorial
3645.0,5,oculta
3645.2,6,oculta
3645.4,0,sensorial
3645.7000000000003,13,pfc
3645.9,4,sensorial
3645.9,7,oculta
3646.0000000000005,2,sensorial
3646.0000000000005,12,pfc
3646.0000000000005,14,pfc
3646.1,1,sensorial
3646.2000000000003,3,sensorial
3664.9,5,oculta
3665.1000000000004,6,oculta
3665.3,0,sensorial
3665.7000000000003,13,pfc
3665.9,4,sensorial
3665.9,7,oculta
3666.0000000000005,2,sensorial
3666.0000000000005,12,pfc
3666.0000000000005,14,pfc
3666.1,1,sensorial
3666.2000000000003,3,sensorial
3684.8,5,oculta
3685.0,6,oculta
3685.2,0,sensorial
3685.7000000000003,13,pfc
3685.9,4,sensorial
3685.9,7,oculta
3686.0000000000005,2,sensorial
3686.0000000000005,12,pfc
3686.0000000000005,14,pfc
3686.1,1,sensorial
3686.2000000000003,3,sensorial
3704.7000000000003,5,oculta
3704.9,6,oculta
3705.1000000000004,0,sensorial
3705.7000000000003,13,pfc
3705.9,4,sensorial
3705.9,7,oculta
3706.0,2,sensorial
3706.0,12,pfc
3706.0,14,pfc
3706.1,1,sensorial
3706.2000000000003,3,sensorial
3724.6,5,oculta
3724.8,6,oculta
3725.0,0,sensorial
3725.7000000000003,13,pfc
3725.9,4,sensorial
3725.9,7,oculta
3726.0,2,sensorial
3726.0,12,pfc
3726.0,14,pfc
3726.1,1,sensorial
3726.2,3,sensorial
3744.4,5,oculta
3744.7000000000003,6,oculta
3744.9,0,sensorial
3745.7000000000003,13,pfc
3745.9,4,sensorial
3745.9,7,oculta
3746.0,2,sensorial
3746.0,12,pfc
3746.0,14,pfc
3746.1,1,sensorial
3746.2,3,sensorial
3764.2000000000003,5,oculta
3764.6,6,oculta
3764.8,0,sensorial
3765.7000000000003,13,pfc
3765.9,4,sensorial
3765.9,7,oculta
3766.0,2,sensorial
3766.0,12,pfc
3766.0,14,pfc
3766.1000000000004,1,sensorial
3766.2,3,sensorial
3784.0,5,oculta
3784.4,6,oculta
3784.7000000000003,0,sensorial
3785.7000000000003,13,pfc
3785.9,4,sensorial
3785.9,7,oculta
3786.0,2,sensorial
3786.0,12,pfc
3786.0,14,pfc
3786.1000000000004,1,sensorial
3786.2,3,sensorial
3803.8,5,oculta
3804.2000000000003,6,oculta
3804.6,0,sensorial
3805.7000000000003,13,pfc
3805.9,4,sensorial
3805.9,7,oculta
3806.0,2,sensorial
3806.0,12,pfc
3806.0,14,pfc
3806.1000000000004,1,sensorial
3806.2,3,sensorial
3823.6000000000004,5,oculta
3824.0,6,oculta
3824.5,0,sensorial
3825.7000000000003,13,pfc
3825.9,4,sensorial
3825.9,7,oculta
3826.0,2,sensorial
3826.0,12,pfc
3826.0,14,pfc
3826.1000000000004,1,sensorial
3826.2,3,sensorial
3843.4,5,oculta
3843.8,6,oculta
3844.4,0,sensorial
3845.7000000000003,13,pfc
3845.8,4,sensorial
3845.9,7,oculta
3846.0,2,sensorial
3846.0,12,pfc
3846.0,14,pfc
3846.1000000000004,1,sensorial
3846.2,3,sensorial
3863.2,5,oculta
3863.6000000000004,6,oculta
3864.3,0,sensorial
3865.6,4,sensorial
3865.7000000000003,13,pfc
3865.8,14,pfc
3865.9,2,sensorial
3865.9,7,oculta
3866.0,12,pfc
3866.1000000000004,1,sensorial
3866.2,3,sensorial
3883.0,5,oculta
3883.4000000000005,6,oculta
3884.2000000000003,0,sensorial
3885.4,4,sensorial
3885.6,13,pfc
3885.6,14,pfc
3885.7000000000003,2,sensorial
3885.8,7,oculta
3885.8,12,pfc
3886.1000000000004,1,sensorial
3886.2,3,sensorial
3902.7000000000003,5,oculta
3903.2,6,oculta
3904.1,0,sensorial
3905.1,4,sensorial
3905.2999999999997,14,pfc
3905.4,2,sensorial
3905.4,13,pfc
3905.5,12,pfc
3905.6,7,oculta
3906.1000000000004,1,sensorial
3906.2,3,sensorial
3922.4,5,oculta
3923.0,6,oculta
3924.0000000000005,0,sensorial
3924.8,4,sensorial
3925.0,14,pfc
3925.1,2,sensorial
3925.2000000000003,12,pfc
3925.2000000000003,13,pfc
3925.4,7,oculta
3926.1000000000004,1,sensorial
3926.2000000000003,3,sensorial
3942.1000000000004,5,oculta
3942.8,6,oculta
3943.9,0,sensorial
3944.5,4,sensorial
3944.7,14,pfc
3944.8,2,sensorial
3944.9,12,pfc
3945.0,13,pfc
3945.2000000000003,7,oculta
