time,neuron_id,capa
3506.2999999999997,0,sensorial
3506.2999999999997,1,sensorial
3506.2999999999997,2,sensorial
3506.2999999999997,3,sensorial
3506.2999999999997,4,sensorial
3506.2999999999997,5,sensorial
3506.2999999999997,6,sensorial
3506.2999999999997,7,sensorial
3506.2999999999997,8,sensorial
3506.2999999999997,9,sensorial
3506.2999999999997,10,oculta
3506.2999999999997,11,oculta
3506.2999999999997,12,oculta
3506.2999999999997,13,oculta
3506.2999999999997,14,oculta
3506.2999999999997,15,oculta
3506.2999999999997,16,oculta
3506.2999999999997,17,oculta
3506.2999999999997,26,pfc
3506.2999999999997,27,pfc
3506.2999999999997,28,pfc
3506.2999999999997,29,pfc
3526.2999999999997,10,oculta
3526.2999999999997,14,oculta
3526.2999999999997,15,oculta
3526.2999999999997,16,oculta
3526.4,17,oculta
3526.5,9,sensorial
3526.5,12,oculta
3526.5,13,oculta
3526.6,0,sensorial
3526.6,1,sensorial
3526.6,4,sensorial
3526.6,5,sensorial
3526.6,6,sensorial
3526.6,7,sensorial
3526.6,11,oculta
3526.7000000000003,2,sensorial
3526.7000000000003,3,sensorial
3526.7000000000003,8,sensorial
3526.7000000000003,26,pfc
3526.7000000000003,27,pfc
3526.7000000000003,28,pfc
3526.7000000000003,29,pfc
3546.4,10,oculta
3546.4,14,oculta
3546.4,15,oculta
3546.4,16,oculta
3546.6,17,oculta
3546.7,12,oculta
3546.8,9,sensorial
3546.8,13,oculta
3546.9,1,sensorial
3546.9,4,sensorial
3546.9,5,sensorial
3546.9,6,sensorial
3546.9,7,sensorial
3546.9,11,oculta
3547.0,0,sensorial
3547.1000000000004,2,sensorial
3547.1000000000004,3,sensorial
3547.1000000000004,8,sensorial
3547.1000000000004,26,pfc
3547.1000000000004,27,pfc
3547.1000000000004,28,pfc
3547.1000000000004,29,pfc
3566.6000000000004,10,oculta
3566.6000000000004,14,oculta
3566.6000000000004,15,oculta
3566.6000000000004,16,oculta
3566.8,17,oculta
3566.9,12,oculta
3567.1000000000004,9,sensorial
3567.1000000000004,13,oculta
3567.2000000000003,4,sensorial
3567.2000000000003,5,sensorial
3567.2000000000003,6,sensorial
3567.2000000000003,7,sensorial
3567.2000000000003,11,oculta
3567.3,1,sensorial
3567.4,0,sensorial
3567.5000000000005,2,sensorial
3567.5000000000005,3,sensorial
3567.5000000000005,8,sensorial
3567.5000000000005,26,pfc
3567.5000000000005,27,pfc
3567.5000000000005,28,pfc
3567.5000000000005,29,pfc
3586.7,16,oculta
3586.8,10,oculta
3586.8,14,oculta
3586.8,15,oculta
3587.0,17,oculta
3587.1,12,oculta
3587.4,13,oculta
3587.5000000000005,4,sensorial
3587.5000000000005,5,sensorial
3587.5000000000005,6,sensorial
3587.5000000000005,7,sensorial
3587.5000000000005,9,sensorial
3587.5000000000005,11,oculta
3587.7000000000003,1,sensorial
3587.8,0,sensorial
3587.9,2,sensorial
3587.9,3,sensorial
3587.9,8,sensorial
3587.9,26,pfc
3587.9,27,pfc
3587.9,28,pfc
3587.9,29,pfc
3606.8,16,oculta
3606.9,10,oculta
3606.9,14,oculta
3607.0,15,oculta
3607.2000000000003,17,oculta
3607.2999999999997,12,oculta
3607.7000000000003,11,oculta
3607.7000000000003,13,oculta
3607.8,4,sensorial
3607.8,5,sensorial
3607.8,6,sensorial
3607.8,7,sensorial
3607.9,9,sensorial
3608.1000000000004,1,sensorial
3608.2,0,sensorial
3608.3,2,sensorial
3608.3,3,sensorial
3608.3,8,sensorial
3608.3,26,pfc
3608.3,27,pfc
3608.3,28,pfc
3608.3,29,pfc
3626.9,16,oculta
3627.0,10,oculta
3627.0,14,oculta
3627.2000000000003,15,oculta
3627.4,17,oculta
3627.5000000000005,12,oculta
3627.9,11,oculta
3628.0,13,oculta
3628.1000000000004,4,sensorial
3628.1000000000004,5,sensorial
3628.1000000000004,6,sensorial
3628.1000000000004,7,sensorial
3628.3,9,sensorial
3628.5,1,sensorial
3628.6,0,sensorial
3628.7000000000003,2,sensorial
3628.7000000000003,3,sensorial
3628.7000000000003,8,sensorial
3628.7000000000003,26,pfc
3628.7000000000003,27,pfc
3628.7000000000003,28,pfc
3628.7000000000003,29,pfc
3647.0,16,oculta
3647.1,10,oculta
3647.1,14,oculta
3647.4,15,oculta
3647.6,17,oculta
3647.7000000000003,12,oculta
3648.1000000000004,11,oculta
3648.3,13,oculta
3648.4,4,sensorial
3648.4,5,sensorial
3648.4,6,sensorial
3648.4,7,sensorial
3648.7000000000003,9,sensorial
3648.9,1,sensorial
3649.0,0,sensorial
3649.1000000000004,2,sensorial
3649.1000000000004,3,sensorial
3649.1000000000004,8,sensorial
3649.1000000000004,26,pfc
3649.1000000000004,27,pfc
3649.1000000000004,28,pfc
3649.1000000000004,29,pfc
3667.1,16,oculta
3667.2000000000003,10,oculta
3667.2000000000003,14,oculta
3667.6,15,oculta
3667.8,17,oculta
3667.9,12,oculta
3668.3,11,oculta
3668.6,13,oculta
3668.7000000000003,4,sensorial
3668.7000000000003,5,sensorial
3668.7000000000003,6,sensorial
3668.7000000000003,7,sensorial
3669.1000000000004,9,sensorial
3669.3,1,sensorial
3669.4,0,sensorial
3669.5,2,sensorial
3669.5,3,sensorial
3669.5,8,sensorial
3669.5,26,pfc
3669.5,27,pfc
3669.5,28,pfc
3669.5,29,pfc
3687.2000000000003,16,oculta
3687.2999999999997,10,oculta
3687.2999999999997,14,oculta
3687.8,15,oculta
3688.0,17,oculta
3688.1000000000004,12,oculta
3688.5000000000005,11,oculta
3688.9,13,oculta
3689.0,4,sensorial
3689.0,5,sensorial
3689.0,6,sensorial
3689.1000000000004,7,sensorial
3689.5,9,sensorial
3689.7000000000003,1,sensorial
3689.7999999999997,0,sensorial
3689.9,2,sensorial
3689.9,3,sensorial
3689.9,8,sensorial
3689.9,26,pfc
3689.9,27,pfc
3689.9,28,pfc
3689.9,29,pfc
3707.3,16,oculta
3707.4,10,oculta
3707.4,14,oculta
3708.0,15,oculta
3708.1000000000004,17,oculta
3708.3,12,oculta
3708.7000000000003,11,oculta
3709.2,13,oculta
3709.3,4,sensorial
3709.3,5,sensorial
3709.3,6,sensorial
3709.5,7,sensorial
3709.9,9,sensorial
3710.1,1,sensorial
3710.2000000000003,0,sensorial
3710.3,2,sensorial
3710.3,3,sensorial
3710.3,8,sensorial
3710.3,26,pfc
3710.3,27,pfc
3710.3,28,pfc
