time,neuron_id,capa
3506.2999999999997,0,sensorial
3506.2999999999997,1,sensorial
3506.2999999999997,2,sensorial
3506.2999999999997,3,sensorial
3506.2999999999997,4,sensorial
3506.2999999999997,5,oculta
3506.2999999999997,6,oculta
3506.2999999999997,7,oculta
3506.2999999999997,12,pfc
3506.2999999999997,13,pfc
3506.2999999999997,14,pfc
3525.7,7,oculta
3525.8,14,pfc
3526.0,1,sensorial
3526.0,2,sensorial
3526.1,3,sensorial
3526.1,4,sensorial
3526.1,12,pfc
3526.2000000000003,0,sensorial
3526.2000000000003,5,oculta
3526.2000000000003,13,pfc
3526.2999999999997,6,oculta
3545.4,7,oculta
3545.5,14,pfc
3545.8,1,sensorial
3546.0,2,sensorial
3546.0,3,sensorial
3546.0,12,pfc
3546.1,4,sensorial
3546.2000000000003,0,sensorial
3546.2000000000003,5,oculta
3546.2000000000003,13,pfc
3546.2999999999997,6,oculta
3565.3,7,oculta
3565.4,14,pfc
3565.7,1,sensorial
3566.0,2,sensorial
3566.0,3,sensorial
3566.0,12,pfc
3566.1,4,sensorial
3566.2000000000003,0,sensorial
3566.2000000000003,5,oculta
3566.2000000000003,13,pfc
3566.2999999999997,6,oculta
3585.2000000000003,7,oculta
3585.3,14,pfc
3585.7,1,sensorial
3586.0,2,sensorial
3586.0,3,sensorial
3586.0,12,pfc
3586.1,4,sensorial
3586.2000000000003,0,sensorial
3586.2000000000003,5,oculta
3586.2000000000003,13,pfc
3586.3,6,oculta
3605.1,7,oculta
3605.2,14,pfc
3605.6000000000004,1,sensorial
3606.0000000000005,2,sensorial
3606.0000000000005,3,sensorial
3606.0000000000005,12,pfc
3606.1,4,sensorial
3606.2000000000003,0,sensorial
3606.2000000000003,5,oculta
3606.2000000000003,13,pfc
3606.3,6,oculta
3625.0,7,oculta
3625.1,14,pfc
3625.5,1,sensorial
3626.0000000000005,2,sensorial
3626.0000000000005,3,sensorial
3626.0000000000005,12,pfc
3626.1,0,sensorial
3626.1,4,sensorial
3626.2000000000003,5,oculta
3626.2000000000003,13,pfc
3626.3,6,oculta
3644.9,7,oculta
3645.0,14,pfc
3645.4,1,sensorial
3646.0000000000005,0,sensorial
3646.0000000000005,2,sensorial
3646.0000000000005,3,sensorial
3646.0000000000005,12,pfc
3646.1,4,sensorial
3646.2000000000003,5,oculta
3646.2000000000003,13,pfc
3646.3,6,oculta
3664.8,7,oculta
3664.9,14,pfc
3665.3,1,sensorial
3665.9,0,sensorial
3666.0000000000005,2,sensorial
3666.0000000000005,3,sensorial
3666.0000000000005,12,pfc
3666.1,4,sensorial
3666.2000000000003,5,oculta
3666.2000000000003,13,pfc
3666.3,6,oculta
3684.7000000000003,7,oculta
3684.8,14,pfc
3685.2,1,sensorial
3685.7999999999997,0,sensorial
3686.0000000000005,2,sensorial
3686.0000000000005,3,sensorial
3686.0000000000005,12,pfc
3686.1,4,sensorial
3686.2000000000003,5,oculta
3686.2000000000003,13,pfc
3686.3,6,oculta
3704.6,7,oculta
3704.7000000000003,14,pfc
3705.1000000000004,1,sensorial
3705.7000000000003,0,sensorial
3706.0,2,sensorial
3706.0,3,sensorial
3706.0,12,pfc
3706.1,4,sensorial
3706.2000000000003,5,oculta
3706.2000000000003,13,pfc
3706.3,6,oculta
3724.5000000000005,7,oculta
3724.6,14,pfc
3725.0,1,sensorial
3725.6,0,sensorial
3726.0,2,sensorial
3726.0,3,sensorial
3726.0,12,pfc
3726.1,4,sensorial
3726.2,5,oculta
3726.2,13,pfc
3726.3,6,oculta
3744.4,7,oculta
3744.5000000000005,14,pfc
3744.9,1,sensorial
3745.5,0,sensorial
3746.0,2,sensorial
3746.0,3,sensorial
3746.0,12,pfc
3746.1,4,sensorial
3746.2,5,oculta
3746.2,13,pfc
3746.3,6,oculta
3764.2999999999997,7,oculta
3764.4,14,pfc
3764.8,1,sensorial
3765.4,0,sensorial
3766.0,2,sensorial
3766.0,3,sensorial
3766.0,12,pfc
3766.1000000000004,4,sensorial
3766.2,5,oculta
3766.2,13,pfc
3766.3,6,oculta
3784.2000000000003,7,oculta
3784.2999999999997,14,pfc
3784.7000000000003,1,sensorial
3785.3,0,sensorial
3786.0,2,sensorial
3786.0,3,sensorial
3786.0,12,pfc
3786.1000000000004,4,sensorial
3786.2,5,oculta
3786.2,13,pfc
3786.3,6,oculta
3804.1,7,oculta
3804.1,14,pfc
3804.6,1,sensorial
3805.2000000000003,0,sensorial
3806.0,2,sensorial
3806.0,3,sensorial
3806.0,12,pfc
3806.1000000000004,4,sensorial
3806.2,5,oculta
3806.2,13,pfc
3806.3,6,oculta
3823.9,14,pfc
3824.0,7,oculta
3824.5,1,sensorial
3825.1000000000004,0,sensorial
3826.0,2,sensorial
3826.0,3,sensorial
3826.0,12,pfc
3826.1000000000004,4,sensorial
3826.2,5,oculta
3826.2,13,pfc
3826.3,6,oculta
3843.7,14,pfc
3843.9,7,oculta
3844.4,1,sensorial
3845.0,0,sensorial
3845.9,4,sensorial
3846.0,2,sensorial
3846.0,3,sensorial
3846.0,12,pfc
3846.2,5,oculta
3846.2,13,pfc
3846.3,6,oculta
3863.5,14,pfc
3863.8,7,oculta
3864.3,1,sensorial
3864.9,0,sensorial
3865.7000000000003,4,sensorial
3865.8,3,sensorial
3866.0,2,sensorial
3866.0,12,pfc
3866.2,5,oculta
3866.2,13,pfc
3866.3,6,oculta
3883.3,14,pfc
3883.7000000000003,7,oculta
3884.2000000000003,1,sensorial
3884.8,0,sensorial
3885.5000000000005,4,sensorial
3885.6,3,sensorial
3886.0,2,sensorial
3886.0,12,pfc
3886.2,5,oculta
3886.2,13,pfc
3886.3,6,oculta
3903.1000000000004,14,pfc
3903.5,7,oculta
3904.1,1,sensorial
3904.7,0,sensorial
3905.2999999999997,4,sensorial
3905.4,3,sensorial
3906.0,2,sensorial
3906.0,12,pfc
3906.1000000000004,5,oculta
3906.1000000000004,13,pfc
3906.3,6,oculta
3922.9,14,pfc
3923.3,7,oculta
3924.0000000000005,1,sensorial
3924.6000000000004,0,sensorial
3925.1,4,sensorial
3925.2000000000003,3,sensorial
3925.9,5,oculta
3925.9,13,pfc
3926.0,2,sensorial
3926.0,12,pfc
3926.3,6,oculta
3942.7000000000003,14,pfc
3943.1000000000004,7,oculta
3943.9,1,sensorial
3944.5,0,sensorial
3944.9,4,sensorial
3945.0,3,sensorial
3945.7,5,oculta
